Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Concept 1: Dove 60-Second Body Spray,M8_q19,"What concerns, if any, would you have about trying the Dove 60-Second Body Spray? Select all that apply.","[""price_high"", ""skeptical_claims"", ""skin_irritation"", ""availability""]",Price might be too high; Might not work as claimed; Could irritate my skin; Might not be available where I shop,"Participant is price-sensitive to premium pricing and skeptical of claims without clinical backing; skin irritation is a concern due to oily, acne-prone skin; availability is also a concern as noted in evidence."
Concept 2: Dove Skip,M8_q20,"Overall, how interested are you in this product concept?",4,4,"The twin previously indicated probable buy and appreciated the convenience of 12-hour moisturization, showing strong interest."
Concept 2: Dove Skip,M8_q21,"What, if anything, did you find most appealing about the Dove Skip concept?","The most appealing part is the convenience of getting 12-hour moisturized skin directly from the shower, eliminating the hassle of applying lotion afterward.","The most appealing part is the convenience of getting 12-hour moisturized skin directly from the shower, eliminating the hassle of applying lotion afterward.","The twin appreciates functional innovation that saves time and effort, especially when backed by technology like lipid-lock for sustained hydration."
Concept 2: Dove Skip,M8_q22,"What, if anything, would you change or improve about the Dove Skip concept?","I would want more clinical evidence or dermatologist endorsement to trust the moisture barrier claims, and possibly a price closer to ₹300–350 for better value.","I would want more clinical evidence or dermatologist endorsement to trust the moisture barrier claims, and possibly a price closer to ₹300–350 for better value.","The twin is price-sensitive within ₹350–500 range and demands clinical backing to justify premium pricing, as per their clinical-grade-premium-payer-only trait."
Concept 2: Dove Skip,M8_q23,How well does the Dove Skip concept fit with your current routine?,3,3 (Somewhat well),"The twin finds the Dove Skip concept somewhat fitting with their routine, reflecting moderate compatibility."
Concept 2: Dove Skip,M8_q24,How likely would the Dove Skip be to save you time in your routine?,4,4,"The twin values time-saving benefits and convenience, so they see Dove Skip as likely to save time in their routine."
Concept 2: Dove Skip,M8_q25,"Based on what you've seen, how likely would you be to buy the Dove Skip?",probably_buy,Probably would buy,"The promise of 12-hour moisturization aligns with participant's ideal post-wash skin feeling and convenience desire, but price at ₹349-599 is at premium range requiring clinical proof."
Concept 2: Dove Skip,M8_q27,How unique or different is the Dove Skip compared to other body wash products available today?,somewhat,Somewhat unique,"Similar to the Dove 60-Second Body Spray, this product's advanced lipid-lock technology is somewhat unique but not radically different from other moisturizing body washes; the twin previously rated Dove spray as somewhat unique."
Concept 2: Dove Skip,M8_q28,How relevant is the Dove Skip to your personal needs?,somewhat,Somewhat relevant,"The twin previously rated Dove 60-Second Body Spray as somewhat relevant and values moisturizing benefits but balances this with ingredient scrutiny, so relevance is moderate."
Concept 2: Dove Skip,M8_q29,How believable are the claims made about the Dove Skip?,somewhat,Somewhat believable,"The twin rated claims about Dove 60-Second Body Spray as somewhat believable and is generally skeptical, requiring clinical proof; thus, similar claims here would be viewed with cautious acceptance."
Concept 2: Dove Skip,M8_q30,How well does the Dove Skip idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,"The twin previously rated Dove 60-Second Body Spray as fitting somewhat well with Dove's brand, reflecting moderate brand alignment without strong enthusiasm."
Concept 2: Dove Skip,M8_q31,How would you describe the Dove Skip? Rate each pair of characteristics.,"{""Basic-Premium"": 4, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 4, ""Old-fashioned-Innovative"": 3, ""Forgettable-Memorable"": 3}",Basic-Premium: 4; Boring-Exciting: 3; Not for me-Made for me: 4; Old-fashioned-Innovative: 3; Forgettable-Memorable: 3,"Dove Skip's convenience and 12-hour moisturization appeal moderately, fitting routine somewhat well, but clinical evidence and price concerns temper excitement and innovation perception."
Concept 2: Dove Skip,M8_q34,"What concerns, if any, would you have about trying the Dove Skip? Select all that apply.","[""price_high"", ""skeptical_claims"", ""skin_irritation""]",Price might be too high; Might not work as claimed; Could irritate my skin,"Participant is cautious about price and efficacy claims, especially for moisturizing claims; skin irritation is a concern given oily/acne-prone skin; availability less of a concern here."
Concept 3: Dove Night Wash,M8_q35,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"The twin showed moderate interest in Dove Night Wash, appreciating the calming benefits but wanting clearer clinical data."
Concept 3: Dove Night Wash,M8_q36,"What, if anything, did you find most appealing about the Dove Night Wash concept?",The calming ritual benefit with clinically shown ingredients like chamomile and lavender to reduce stress hormones is most appealing for a differentiated night shower experience.,The calming ritual benefit with clinically shown ingredients like chamomile and lavender to reduce stress hormones is most appealing for a differentiated night shower experience.,"The twin values clinical claims and ingredient-backed benefits, especially those that provide a meaningful sensory and functional difference."
Concept 3: Dove Night Wash,M8_q37,"What, if anything, would you change or improve about the Dove Night Wash concept?","I would improve it by providing clearer clinical data on the stress-reducing effects and ensuring the fragrance is subtle and not overpowering, to avoid irritation.","I would improve it by providing clearer clinical data on the stress-reducing effects and ensuring the fragrance is subtle and not overpowering, to avoid irritation.","The twin is skeptical of claims without evidence and sensitive to skin irritation and fragrance strength, preferring balanced formulations."
Concept 3: Dove Night Wash,M8_q38,How well does the Dove Night Wash concept fit with your current routine?,3,3 (Somewhat well),"The twin rated the fit of Dove Night Wash with their routine as somewhat well, indicating moderate relevance."
Concept 3: Dove Night Wash,M8_q40,"Based on what you've seen, how likely would you be to buy the Dove Night Wash?",might_buy,Might or might not buy,"The twin is open to trying new Dove products but remains cautious, as shown by prior 'might or might not buy' responses and a preference for clinical backing over sensory claims."
Concept 3: Dove Night Wash,M8_q42,How unique or different is the Dove Night Wash compared to other body wash products available today?,somewhat,Somewhat unique,"The calming night shower concept with clinical claims is somewhat unique but not radically different, consistent with the twin's moderate uniqueness ratings for Dove products."
Concept 3: Dove Night Wash,M8_q43,How relevant is the Dove Night Wash to your personal needs?,somewhat,Somewhat relevant,The twin values products that address personal needs with clinical backing; a night wash for relaxation is somewhat relevant but not a core need.
Concept 3: Dove Night Wash,M8_q44,How believable are the claims made about the Dove Night Wash?,somewhat,Somewhat believable,"The twin is cautious about claims and requires clinical evidence; while chamomile and lavender have some clinical backing, the twin would rate claims as somewhat believable without stronger proof."
Concept 3: Dove Night Wash,M8_q45,How well does the Dove Night Wash idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,"Prior survey answers show Dove Night Wash fits somewhat well with expectations, reflecting moderate alignment with Dove's brand and product claims."
Concept 3: Dove Night Wash,M8_q46,How would you describe the Dove Night Wash? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 3, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 3; Forgettable-Memorable: 3,"Dove Night Wash is somewhat unique and relevant with calming benefits, but desire for clearer clinical data and subtle fragrance keeps ratings neutral across attributes."
Concept 3: Dove Night Wash,M8_q49,"What concerns, if any, would you have about trying the Dove Night Wash? Select all that apply.","[""skeptical_claims"", ""skin_irritation"", ""price_high""]",Might not work as claimed; Could irritate my skin; Price might be too high,Skepticism about clinical claims for calming effects and price sensitivity; skin irritation concern consistent with oily/acne-prone skin profile.
Concept 4: Dove Yours & Mine,M8_q50,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"The Dove Yours & Mine concept is somewhat appealing due to the personalized fragrance quiz and connection aspect, but the high price (₹799) and focus on fragrance over skin benefits reduce enthusiasm, consistent with prior survey answers."
Concept 4: Dove Yours & Mine,M8_q51,"What, if anything, did you find most appealing about the Dove Yours & Mine concept?","The personalized fragrance quiz and the idea of carrying a subtle scent connection with my partner is appealing, but the high price and focus on fragrance over skin benefits make me hesitant.","The personalized fragrance quiz and the idea of carrying a subtle scent connection with my partner is appealing, but the high price and focus on fragrance over skin benefits make me hesitant.","While intrigued by personalization and aspirational signaling, the twin prioritizes clinical efficacy and price-value balance, showing reservations about fragrance-heavy premium concepts."
Concept 4: Dove Yours & Mine,M8_q52,"What, if anything, would you change or improve about the Dove Yours & Mine concept?",I would reduce the price from ₹799 to around ₹500–600 to make it more accessible and add stronger skin benefit claims alongside the fragrance aspect to justify the premium.,I would reduce the price from ₹799 to around ₹500–600 to make it more accessible and add stronger skin benefit claims alongside the fragrance aspect to justify the premium.,Participant liked the personalized fragrance quiz and connection idea but found the price high and focus on fragrance over skin benefits a drawback.
Concept 4: Dove Yours & Mine,M8_q55,"Based on what you've seen, how likely would you be to buy the Dove Yours & Mine?",might_buy,Might or might not buy,The concept of personalized couple's scents is interesting but the premium price (₹799) and focus on fragrance over clinical ingredients reduces purchase likelihood for this twin.
Concept 4: Dove Yours & Mine,M8_q57,How unique or different is the Dove Yours & Mine compared to other body wash products available today?,somewhat,Somewhat unique,Similar Dove products with fragrance personalization are somewhat unique but not groundbreaking; this aligns with prior ratings of Dove's somewhat unique positioning.
Concept 4: Dove Yours & Mine,M8_q58,How relevant is the Dove Yours & Mine to your personal needs?,somewhat,Somewhat relevant,"The product's relevance is moderate since the twin values clinical efficacy over fragrance-based emotional benefits, making this only somewhat relevant."
Concept 4: Dove Yours & Mine,M8_q59,How believable are the claims made about the Dove Yours & Mine?,somewhat,Somewhat believable,"Claims about personalized fragrance are plausible but the twin remains cautious without clinical backing, so finds claims somewhat believable."
Concept 4: Dove Yours & Mine,M8_q60,How well does the Dove Yours & Mine idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,Consistent with the twin's moderate fit perception of Dove products that emphasize fragrance and emotional connection rather than clinical benefits.
Concept 4: Dove Yours & Mine,M8_q61,How would you describe the Dove Yours & Mine? Rate each pair of characteristics.,"{""Basic-Premium"": 3, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 3, ""Forgettable-Memorable"": 3}",Basic-Premium: 3; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 3; Forgettable-Memorable: 3,"Dove Yours & Mine concept is somewhat unique and appealing for personalization but high price and focus on fragrance over skin benefits reduce enthusiasm and personal fit, resulting in neutral ratings."
Concept 4: Dove Yours & Mine,M8_q64,"What concerns, if any, would you have about trying the Dove Yours & Mine? Select all that apply.","[""price_high"", ""skeptical_claims"", ""skin_irritation""]",Price might be too high; Might not work as claimed; Could irritate my skin,High price (₹799-999) is a barrier; participant doubts claims without clinical proof; skin irritation concern remains relevant.
Concept 5: Dove Skin ID,M8_q65,"Overall, how interested are you in this product concept?",4,4,"The Dove Skin ID concept is very appealing because of the AI skin analysis and customization for oily, acne-prone skin with clinical backing, but some skepticism on price and clinical proof keeps interest at 4 rather than 5."
Concept 5: Dove Skin ID,M8_q66,"What, if anything, did you find most appealing about the Dove Skin ID concept?","The AI skin analysis technology that customizes the body wash for different skin needs across the body is very appealing, especially since it addresses my oily, acne-prone skin with clinical backing.","The AI skin analysis technology that customizes the body wash for different skin needs across the body is very appealing, especially since it addresses my oily, acne-prone skin with clinical backing.","Participant finds the Dove Skin ID concept very unique and very relevant, appreciating the personalized, clinically-backed approach for specific skin needs."
Concept 5: Dove Skin ID,M8_q67,"What, if anything, would you change or improve about the Dove Skin ID concept?","I would want clearer clinical evidence or dermatologist endorsement to trust the AI skin analysis claims, plus a price closer to ₹499 or lower for better value and refill options.","I would want clearer clinical evidence or dermatologist endorsement to trust the AI skin analysis claims, plus a price closer to ₹499 or lower for better value and refill options.","Participant expressed concerns about price being high and skeptical claims, wanting more clinical proof and affordability improvements."
Concept 5: Dove Skin ID,M8_q68,How well does the Dove Skin ID concept fit with your current routine?,3,3 (Somewhat well),"The Dove Skin ID fits somewhat well with the current routine as it addresses specific skin needs and offers customization, but price and need for clearer clinical evidence moderate the fit rating."
Concept 5: Dove Skin ID,M8_q70,"Based on what you've seen, how likely would you be to buy the Dove Skin ID?",might_buy,Might or might not buy,The AI skin analysis feature is interesting but the ₹699 price and unknown brand status reduce certainty; twin needs strong clinical proof before committing.
Concept 5: Dove Skin ID,M8_q72,How unique or different is the Dove Skin ID compared to other body wash products available today?,very,Very unique,"AI-customized body wash with skin photo analysis is a novel concept in the market, making it very unique compared to typical body washes."
Concept 5: Dove Skin ID,M8_q73,How relevant is the Dove Skin ID to your personal needs?,very,Very relevant,The Dove Skin ID concept was rated as 'very unique' and the AI skin analysis feature is interesting but not primary; relevance is high but not extreme given price sensitivity and need for clinical backing.
Concept 5: Dove Skin ID,M8_q74,How believable are the claims made about the Dove Skin ID?,somewhat,Somewhat believable,"The twin values clinical backing and ingredient transparency; AI personalization is intriguing but would require more proof, so claims are somewhat believable but not fully trusted yet."
Concept 5: Dove Skin ID,M8_q75,How well does the Dove Skin ID idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,"Dove is seen as somewhat fitting for innovative concepts but the twin expects clinical-grade, dermatologist-backed products, so Dove's brand fits the idea somewhat but not perfectly."
Concept 5: Dove Skin ID,M8_q76,How would you describe the Dove Skin ID? Rate each pair of characteristics.,"{""Basic-Premium"": 5, ""Boring-Exciting"": 5, ""Not for me-Made for me"": 5, ""Old-fashioned-Innovative"": 5, ""Forgettable-Memorable"": 4}",Basic-Premium: 5; Boring-Exciting: 5; Not for me-Made for me: 5; Old-fashioned-Innovative: 5; Forgettable-Memorable: 4,"Dove Skin ID is rated very unique and highly relevant with appealing AI customization and clinical backing, fitting well with the twin's preference for innovation and clinical-grade products, hence high ratings across all attributes."
Concept 5: Dove Skin ID,M8_q79,"What concerns, if any, would you have about trying the Dove Skin ID? Select all that apply.","[""price_high"", ""skeptical_claims"", ""skin_irritation""]",Price might be too high; Might not work as claimed; Could irritate my skin,Price of ₹699 is steep for an unknown brand; participant needs clinical backing to trust efficacy; skin irritation is a consistent concern.
Comparative & Pricing,M8_q17,How important are each of these factors when choosing a body wash?,"{""Cleansing effectiveness"": 5, ""Moisturization / skin hydration"": 4, ""Fragrance / scent quality"": 3, ""Gentleness on skin"": 5, ""Value for money"": 5, ""Innovation / uniqueness"": 4, ""Brand trust and reputation"": 3, ""Convenience / ease of use"": 4}",Cleansing effectiveness: 5; Moisturization / skin hydration: 4; Fragrance / scent quality: 3; Gentleness on skin: 5; Value for money: 5; Innovation / uniqueness: 4; Brand trust and reputation: 3; Convenience / ease of use: 4,"The twin prioritizes cleansing effectiveness, gentleness, and value for money most, followed by moisturization, innovation, and convenience, with moderate importance on fragrance and brand trust as supported by multiple evidence points."
Comparative & Pricing,M8_q80,"Now that you've seen all 5 concepts, please rank them from most to least appealing. Pick your top 3.","[""Dove Skin ID"", ""Dove Skip"", ""Dove 60-Second Body Spray"", ""Dove Night Wash"", ""Dove Yours & Mine""]",Dove Skin ID > Dove Skip > Dove 60-Second Body Spray > Dove Night Wash > Dove Yours & Mine,Dove Skin ID ranks highest due to strong appeal of AI customization and clinical backing; Dove Skip is next for its convenience and moisturization claims; Dove 60-Second Body Spray follows for innovation but with some skepticism; Dove Night Wash is moderately appealing for calming benefits; Dove Yours & Mine ranks lowest due to high price and fragrance focus over skin benefits.
Comparative & Pricing,M8_q81,"Thinking about the concept you found most appealing — at the price shown, how likely would you be to buy it?",might_buy,Might or might not buy,"Despite interest in the concept and uniqueness, the high price (₹699) for a new brand with AI skin analysis and the need for clinical proof make the twin hesitant to commit definitely or probably to buy."
Comparative & Pricing,M8_q82,What would you expect to pay for your most preferred concept? (Enter amount in rupees),499,499,"The preferred concept is Dove Skin ID, which is seen as innovative and clinically backed but the twin prefers prices closer to ₹499 rather than ₹600+; typical spend is ₹350-500 and willingness to pay a premium only for clinical-grade formulations supports this price expectation."
