Section,Question ID,Question,Answer (Value),Answer (Label),Reasoning
Concept 1: Dove 60-Second Body Spray,M8_q12,How unique or different is the Dove 60-Second Body Spray compared to other body wash products available today?,very,Very unique,The 60-second spray format and micellar technology application to body cleansing is quite different from traditional body washes I'm familiar with.
Concept 1: Dove 60-Second Body Spray,M8_q13,How relevant is the Dove 60-Second Body Spray to your personal needs?,not_very,Not very relevant,I shower once daily at home and prioritize fragrance over speed - rushing between activities isn't my main concern with body wash.
Concept 1: Dove 60-Second Body Spray,M8_q14,How believable are the claims made about the Dove 60-Second Body Spray?,somewhat,Somewhat believable,"While I trust Dove as an international brand, I'm generally skeptical of marketing claims and would need to see reviews before fully believing the 60-second effectiveness."
Concept 1: Dove 60-Second Body Spray,M8_q15,How well does the Dove 60-Second Body Spray idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,"Dove is an international brand I trust, but this spray format is quite different from their traditional moisturizing body wash products I expect."
Concept 1: Dove 60-Second Body Spray,M8_q16,How would you describe the Dove 60-Second Body Spray? Rate each pair of characteristics.,"{""Basic-Premium"": 4, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 2, ""Old-fashioned-Innovative"": 4, ""Forgettable-Memorable"": 3}",Basic-Premium: 4; Boring-Exciting: 3; Not for me-Made for me: 2; Old-fashioned-Innovative: 4; Forgettable-Memorable: 3,"The micellar technology sounds innovative and premium, but at ₹399 it's way above my usual under-₹100 budget and doesn't address my main priority of fragrance longevity, making it not really made for me despite being technologically advanced."
Concept 1: Dove 60-Second Body Spray,M8_q19,"What concerns, if any, would you have about trying the Dove 60-Second Body Spray? Select all that apply.","[""price_high"", ""skeptical_claims""]",Price might be too high; Might not work as claimed,"At ₹199-399, this is well above my under-₹100 typical spend, and I'm skeptical of new product claims without reviews to verify effectiveness."
Concept 2: Dove Skip,M8_q20,"Overall, how interested are you in this product concept?",2,2,"The 12-hour moisturizing benefit sounds good, but I'm more interested in fragrance longevity than moisturizing features, and the price is still above my preferred range."
Concept 2: Dove Skip,M8_q21,"What, if anything, did you find most appealing about the Dove Skip concept?","The 12-hour moisturizing benefit sounds good, but I'm more interested in fragrance longevity than moisturizing features.","The 12-hour moisturizing benefit sounds good, but I'm more interested in fragrance longevity than moisturizing features.",Evidence shows I switched from previous body wash specifically for better fragrance and prioritize scent over other benefits like moisturizing.
Concept 2: Dove Skip,M8_q22,"What, if anything, would you change or improve about the Dove Skip concept?",Lower the price closer to ₹200 and add strong fragrance that lasts 12 hours alongside the moisturizing benefit.,Lower the price closer to ₹200 and add strong fragrance that lasts 12 hours alongside the moisturizing benefit.,Evidence shows price concerns (₹349 is high for my under ₹100 budget) and fragrance-obsession means I need scent longevity as the primary benefit.
Concept 2: Dove Skip,M8_q23,How well does the Dove Skip concept fit with your current routine?,3,3 (Somewhat well),"The moisturizing benefit could fit somewhat well since I prefer moisturized post-wash feeling, though fragrance remains my primary concern over convenience features."
Concept 2: Dove Skip,M8_q24,How likely would the Dove Skip be to save you time in your routine?,3,3 (Moderately likely),"Eliminating the need for separate body lotion would moderately save time in my routine, though this isn't my main priority compared to fragrance longevity."
Concept 2: Dove Skip,M8_q25,"Based on what you've seen, how likely would you be to buy the Dove Skip?",might_buy,Might or might not buy,"At ₹349-599 this exceeds my budget, but the moisturizing benefit aligns with my preference for moisturized post-wash feeling - would depend on fragrance quality and reviews."
Concept 2: Dove Skip,M8_q27,How unique or different is the Dove Skip compared to other body wash products available today?,somewhat,Somewhat unique,"While the moisturizing benefit is appealing, I've seen similar 'no lotion needed' claims before, so it's not extremely unique but still different enough from basic body washes."
Concept 2: Dove Skip,M8_q28,How relevant is the Dove Skip to your personal needs?,somewhat,Somewhat relevant,"The moisturizing benefit aligns with my preference for moisturized post-wash skin feeling, but my primary concern is fragrance longevity, not skipping body lotion."
Concept 2: Dove Skip,M8_q29,How believable are the claims made about the Dove Skip?,somewhat,Somewhat believable,"Dove is an international brand I trust for quality, but 12-hour moisturization claims seem ambitious - I'd need to see reviews or test it myself to fully believe it."
Concept 2: Dove Skip,M8_q30,How well does the Dove Skip idea fit with what you expect from the Dove brand?,very,Fits very well,Dove is known for moisturizing benefits and this concept aligns perfectly with their brand positioning around skin care and convenience.
Concept 2: Dove Skip,M8_q31,How would you describe the Dove Skip? Rate each pair of characteristics.,"{""Basic-Premium"": 4, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 3, ""Old-fashioned-Innovative"": 4, ""Forgettable-Memorable"": 3}",Basic-Premium: 4; Boring-Exciting: 3; Not for me-Made for me: 3; Old-fashioned-Innovative: 4; Forgettable-Memorable: 3,"The 12-hour moisturizing benefit sounds good and the lipid-lock technology is innovative, but I'm more interested in fragrance longevity than moisturizing features, making it moderately relevant to my needs."
Concept 2: Dove Skip,M8_q34,"What concerns, if any, would you have about trying the Dove Skip? Select all that apply.","[""price_high""]",Price might be too high,"At ₹349-599, this exceeds my budget constraints significantly, though the moisturizing benefit could be appealing if the price were lower."
Concept 3: Dove Night Wash,M8_q35,"Overall, how interested are you in this product concept?",3,3 (Moderately interested),"The lavender fragrance sounds appealing since I like floral scents, but I'd want to test the scent strength and longevity first, making me moderately interested."
Concept 3: Dove Night Wash,M8_q36,"What, if anything, did you find most appealing about the Dove Night Wash concept?","The lavender fragrance sounds appealing since I like floral scents, but I'd want to test the scent strength and longevity first.","The lavender fragrance sounds appealing since I like floral scents, but I'd want to test the scent strength and longevity first.","Evidence shows I gravitate toward floral fragrance families and require fragrance testing before purchase, plus I prioritize scent longevity over relaxation benefits."
Concept 3: Dove Night Wash,M8_q37,"What, if anything, would you change or improve about the Dove Night Wash concept?",,,
Concept 3: Dove Night Wash,M8_q38,How well does the Dove Night Wash concept fit with your current routine?,3,3 (Somewhat well),"A calming night routine could fit somewhat well with evening showers, though my focus remains on fragrance performance rather than relaxation benefits."
Concept 3: Dove Night Wash,M8_q40,"Based on what you've seen, how likely would you be to buy the Dove Night Wash?",probably_not,Probably would not buy,"At ₹299-499, this is above my typical under-₹100 budget, and while lavender is nice, it doesn't address my main need for strong, long-lasting fragrance."
Concept 3: Dove Night Wash,M8_q42,How unique or different is the Dove Night Wash compared to other body wash products available today?,somewhat,Somewhat unique,"The night-specific positioning and stress-reduction claims are different, but aromatherapy body washes exist - it's unique enough but not completely revolutionary."
Concept 3: Dove Night Wash,M8_q43,How relevant is the Dove Night Wash to your personal needs?,not_very,Not very relevant,"My primary concern is body odor and all-day fragrance longevity, not sleep preparation or stress reduction, so this doesn't address my core needs."
Concept 3: Dove Night Wash,M8_q44,How believable are the claims made about the Dove Night Wash?,somewhat,Somewhat believable,"Chamomile and lavender for relaxation are well-known, and Dove is a trusted international brand, but the specific stress hormone reduction claims would need more proof for me to fully believe."
Concept 3: Dove Night Wash,M8_q45,How well does the Dove Night Wash idea fit with what you expect from the Dove brand?,somewhat,Fits somewhat well,"While I appreciate Dove as an international brand, the night-specific concept doesn't align with my primary focus on fragrance longevity and all-day scent impact rather than sleep-focused benefits."
Concept 3: Dove Night Wash,M8_q46,How would you describe the Dove Night Wash? Rate each pair of characteristics.,"{""Basic-Premium"": 4, ""Boring-Exciting"": 4, ""Not for me-Made for me"": 4, ""Old-fashioned-Innovative"": 3, ""Forgettable-Memorable"": 4}",Basic-Premium: 4; Boring-Exciting: 4; Not for me-Made for me: 4; Old-fashioned-Innovative: 3; Forgettable-Memorable: 4,"The lavender fragrance sounds appealing since I like floral scents, and the stress-reducing concept is exciting and premium, though I'd want to test the scent strength and longevity first."
Concept 3: Dove Night Wash,M8_q49,"What concerns, if any, would you have about trying the Dove Night Wash? Select all that apply.","[""price_high"", ""happy_current""]",Price might be too high; Happy with current product,"At ₹299-499, this is above my budget range, and since I prioritize fragrance over relaxation benefits, my current fragrance-focused approach works better."
Concept 4: Dove Yours & Mine,M8_q50,"Overall, how interested are you in this product concept?",2,2,"While the personalized fragrance concept appeals to my scent obsession, the ₹799 price is far beyond my usual under-₹100 budget, creating low overall interest despite the fragrance customization aspect."
Concept 4: Dove Yours & Mine,M8_q51,"What, if anything, did you find most appealing about the Dove Yours & Mine concept?","The personalized fragrance concept is interesting since I care about how others perceive my scent, but ₹799 is far beyond my usual under-₹100 budget.","The personalized fragrance concept is interesting since I care about how others perceive my scent, but ₹799 is far beyond my usual under-₹100 budget.","Evidence shows I prioritize how others will react to my scent over personal preference, but price dominates all decisions with typical spending under ₹100."
Concept 4: Dove Yours & Mine,M8_q52,"What, if anything, would you change or improve about the Dove Yours & Mine concept?","Reduce the price significantly to under ₹300 and ensure the fragrance longevity lasts all day, not just subtle traces.","Reduce the price significantly to under ₹300 and ensure the fragrance longevity lasts all day, not just subtle traces.","Evidence shows I find the personalized fragrance concept interesting but ₹799 is far beyond my usual under-₹100 budget, and I prioritize strong, long-lasting fragrance over subtle scents."
Concept 4: Dove Yours & Mine,M8_q55,"Based on what you've seen, how likely would you be to buy the Dove Yours & Mine?",probably_not,Probably would not buy,"At ₹799-999, this is way above my under-₹100 typical budget, and while I care about how others react to my scent, the couples concept isn't relevant enough to justify such a premium price."
Concept 4: Dove Yours & Mine,M8_q57,How unique or different is the Dove Yours & Mine compared to other body wash products available today?,very,Very unique,"The personalized fragrance quiz and couples scent concept is genuinely innovative compared to standard body wash offerings, even though it's not personally relevant to me."
Concept 4: Dove Yours & Mine,M8_q58,How relevant is the Dove Yours & Mine to your personal needs?,not_very,Not very relevant,"While I care about fragrance and how others perceive my scent, the couples-specific positioning doesn't match my current needs, and the price point is far beyond my budget constraints."
Concept 4: Dove Yours & Mine,M8_q59,How believable are the claims made about the Dove Yours & Mine?,somewhat,Somewhat believable,"The personalized fragrance technology sounds plausible from Dove as an international brand, but I'd need to see reviews and evidence before fully trusting such claims."
Concept 4: Dove Yours & Mine,M8_q60,How well does the Dove Yours & Mine idea fit with what you expect from the Dove brand?,not_very,Doesn't fit very well,"While Dove is a trusted international brand for me, this couples-focused personalization concept feels like a departure from their traditional moisturizing and reliable body wash positioning."
Concept 4: Dove Yours & Mine,M8_q61,How would you describe the Dove Yours & Mine? Rate each pair of characteristics.,"{""Basic-Premium"": 5, ""Boring-Exciting"": 4, ""Not for me-Made for me"": 2, ""Old-fashioned-Innovative"": 5, ""Forgettable-Memorable"": 4}",Basic-Premium: 5; Boring-Exciting: 4; Not for me-Made for me: 2; Old-fashioned-Innovative: 5; Forgettable-Memorable: 4,"The personalized fragrance concept is interesting since I care about how others perceive my scent and it's very innovative, but ₹799 is far beyond my usual under-₹100 budget, making it not really for me despite the appealing concept."
Concept 4: Dove Yours & Mine,M8_q64,"What concerns, if any, would you have about trying the Dove Yours & Mine? Select all that apply.","[""price_high"", ""skeptical_claims""]",Price might be too high; Might not work as claimed,"At ₹799-999, this is extremely expensive for my budget, and the personalized fragrance concept sounds too complex to trust without extensive reviews."
Concept 5: Dove Skin ID,M8_q65,"Overall, how interested are you in this product concept?",1,1 (Not at all interested),"The ₹699 price point is way above my budget, and uploading skin photos to a brand feels invasive and unnecessary for body wash - I'm more interested in fragrance customization than skin analysis features."
Concept 5: Dove Skin ID,M8_q66,"What, if anything, did you find most appealing about the Dove Skin ID concept?","The AI technology sounds advanced, but I'm more interested in fragrance customization than skin analysis features.","The AI technology sounds advanced, but I'm more interested in fragrance customization than skin analysis features.","Evidence shows I feel uploading skin photos to brands is invasive and ₹699 is way above my budget, but I'm interested in personalization when it relates to my core concern of fragrance."
Concept 5: Dove Skin ID,M8_q67,"What, if anything, would you change or improve about the Dove Skin ID concept?","Remove the photo upload requirement, focus on fragrance customization instead of skin analysis, and reduce the price to under ₹300 for the first order.","Remove the photo upload requirement, focus on fragrance customization instead of skin analysis, and reduce the price to under ₹300 for the first order.","Evidence shows I find uploading skin photos invasive, prefer fragrance benefits over skin analysis, and ₹699 is far above my typical under-₹100 spending range."
Concept 5: Dove Skin ID,M8_q68,How well does the Dove Skin ID concept fit with your current routine?,2,2,"The AI skin analysis doesn't align well with my routine since I prioritize fragrance over skin analysis, and the photo upload requirement feels invasive for my simple body wash needs focused on scent longevity."
Concept 5: Dove Skin ID,M8_q70,"Based on what you've seen, how likely would you be to buy the Dove Skin ID?",definitely_not,Definitely would not buy,"At ₹699, this is far above my under-₹100 budget, and based on my previous responses, I find uploading skin photos to brands invasive and unnecessary for body wash."
Concept 5: Dove Skin ID,M8_q72,How unique or different is the Dove Skin ID compared to other body wash products available today?,extremely,Extremely unique,"AI skin analysis technology for custom body wash formulation is genuinely innovative and unlike anything currently available in the market, even though it's not personally appealing to me."
Concept 5: Dove Skin ID,M8_q73,How relevant is the Dove Skin ID to your personal needs?,not_very,Not very relevant,"Despite having body odor concerns, the ₹699 price point is way above my under-₹100 budget, and previous evidence shows I feel invasive about uploading skin photos to brands for body wash."
Concept 5: Dove Skin ID,M8_q74,How believable are the claims made about the Dove Skin ID?,somewhat,Somewhat believable,"Consistent with my previous rating pattern for Dove concepts where I find claims somewhat believable but remain skeptical of new technology claims, especially AI-based features."
Concept 5: Dove Skin ID,M8_q75,How well does the Dove Skin ID idea fit with what you expect from the Dove brand?,not_very,Doesn't fit very well,"While I have international brand bias toward Dove, this high-tech AI concept doesn't align with my preference for straightforward fragrance-focused products and feels too complex for basic body wash needs."
Concept 5: Dove Skin ID,M8_q76,How would you describe the Dove Skin ID? Rate each pair of characteristics.,"{""Basic-Premium"": 5, ""Boring-Exciting"": 3, ""Not for me-Made for me"": 1, ""Old-fashioned-Innovative"": 5, ""Forgettable-Memorable"": 3}",Basic-Premium: 5; Boring-Exciting: 3; Not for me-Made for me: 1; Old-fashioned-Innovative: 5; Forgettable-Memorable: 3,"The AI technology sounds advanced and premium, but I'm more interested in fragrance customization than skin analysis features, and the photo upload requirement and high price make it definitely not for me."
Concept 5: Dove Skin ID,M8_q79,"What concerns, if any, would you have about trying the Dove Skin ID? Select all that apply.","[""price_high"", ""distrust_new"", ""skin_irritation""]",Price might be too high; Don't trust new products; Could irritate my skin,"At ₹699, this is way above my budget, the AI skin analysis feels invasive as shown in synthetic evidence, and I don't trust uploading photos to new brands."
Comparative & Pricing,M8_q17,How important are each of these factors when choosing a body wash?,"{""Cleansing effectiveness"": 4, ""Moisturization / skin hydration"": 3, ""Fragrance / scent quality"": 5, ""Gentleness on skin"": 3, ""Value for money"": 5, ""Innovation / uniqueness"": 3, ""Brand trust and reputation"": 4, ""Convenience / ease of use"": 3}",Cleansing effectiveness: 4; Moisturization / skin hydration: 3; Fragrance / scent quality: 5; Gentleness on skin: 3; Value for money: 5; Innovation / uniqueness: 3; Brand trust and reputation: 4; Convenience / ease of use: 3,"Based on my profile, fragrance quality and value for money are my top priorities (both 5), with cleansing effectiveness and brand trust being important (4), while other factors are moderately important (3)."
Comparative & Pricing,M8_q80,"Now that you've seen all 5 concepts, please rank them from most to least appealing. Pick your top 3.","[""Dove Night Wash"", ""Dove Skip"", ""Dove 60-Second Body Spray""]",Dove Night Wash > Dove Skip > Dove 60-Second Body Spray,"Based on my earlier responses, Night Wash scored highest on personal relevance (floral lavender fragrance appeals to my floral scent preference), Skip offers 12-hour benefits at better value, and 60-Second has interesting technology but price concerns make it third choice."
Comparative & Pricing,M8_q81,"Thinking about the concept you found most appealing — at the price shown, how likely would you be to buy it?",probably_not,Probably would not buy,"Even the most appealing concept (Dove Skip at ₹149) is above my typical under-₹100 budget, and my previous answers show 'probably would not buy' for most concepts due to price constraints despite some interest."
Comparative & Pricing,M8_q82,What would you expect to pay for your most preferred concept? (Enter amount in rupees),250,250,"My most preferred concept was Dove Night Wash with lavender fragrance, but at its shown price of ₹399 it's way above my under-₹100 typical spend, so I'd expect to pay around ₹250 which balances my fragrance needs with price constraints."
